person_id,card_order,card_type,headline,subheadline,visual_type,confidence_note
ama,1,listening_scale,"You spent 189,473 minutes with your music.",That’s the listening footprint behind your emotional recap.,big-number,
ama,2,coverage_note,We could read 54.7% of your listening emotionally.,"That came from 103,552 matched minutes in the reference set.",badge,Methodological limit
ama,3,dominant_emotion,Your matched listening leaned sadness.,32.1% of your matched listening carried that emotional signal.,badge-bar,Based on 54.7% match rate
ama,4,emotional_range,Your emotional range was wide-ranging.,Your matched listening spanned 5 emotional categories.,meter,Based on 54.7% match rate
ama,5,anchor_song,One song stayed with you more than any other: Under The Milky Way.,You spent 1475 minutes on it across 192 different days.,cover-big-number,
ama,6,intentional_pick,This was your deliberate go-to: Brown Eyed Girl.,"Its playlist share was only 0%, but you still came back 213 times.",badge,
ama,7,listening_clock,Your listening rhythm had a clear time signature: late night.,That window carried the biggest share of your monthly listening pattern.,split-clock,
ama,8,peak_month,Your heaviest month was 2017-11.,"You logged 4101 minutes that month, led by These Days.",big-number,
angie,1,listening_scale,"You spent 152,891 minutes with your music.",That’s the listening footprint behind your emotional recap.,big-number,
angie,2,coverage_note,We could read 10.8% of your listening emotionally.,"That came from 16,481 matched minutes in the reference set.",badge,Methodological limit
angie,3,anchor_song,One song stayed with you more than any other: 心情電梯 (Live in summer).,You spent 853 minutes on it across 45 different days.,cover-big-number,
angie,4,intentional_pick,This was your deliberate go-to: 懷疑愛.,"Its playlist share was only 0%, but you still came back 257 times.",badge,
angie,5,listening_clock,Your listening rhythm had a clear time signature: late night.,That window carried the biggest share of your monthly listening pattern.,split-clock,
angie,6,peak_month,Your heaviest month was 2021-10.,"You logged 10216 minutes that month, led by 粉雪.",big-number,
ken,1,listening_scale,You spent 184 minutes with your music.,That’s the listening footprint behind your emotional recap.,big-number,
ken,2,coverage_note,We could read 26.5% of your listening emotionally.,That came from 49 matched minutes in the reference set.,badge,Methodological limit
ken,3,dominant_emotion,Your matched listening leaned uplift.,49.5% of your matched listening carried that emotional signal.,badge-bar,Based on 26.5% match rate
ken,4,emotional_range,Your emotional range was narrow.,Your matched listening spanned 3 emotional categories.,meter,Based on 26.5% match rate
ken,5,anchor_song,One song stayed with you more than any other: Stellar Stellar.,You spent 12 minutes on it across 2 different days.,cover-big-number,
ken,6,listening_clock,Your listening rhythm had a clear time signature: afternoon.,That window carried the biggest share of your monthly listening pattern.,split-clock,
ken,7,peak_month,Your heaviest month was 2021-12.,"You logged 109 minutes that month, led by Stellar Stellar.",big-number,
p1,1,listening_scale,"You spent 5,683 minutes with your music.",That’s the listening footprint behind your emotional recap.,big-number,
p1,2,coverage_note,We could read 64.0% of your listening emotionally.,"That came from 3,636 matched minutes in the reference set.",badge,Methodological limit
p1,3,dominant_emotion,Your matched listening leaned uplift.,27.9% of your matched listening carried that emotional signal.,badge-bar,Based on 64.0% match rate
p1,4,emotional_range,Your emotional range was wide-ranging.,Your matched listening spanned 5 emotional categories.,meter,Based on 64.0% match rate
p1,5,anchor_song,One song stayed with you more than any other: Teardrop.,You spent 469 minutes on it across 7 different days.,cover-big-number,
p1,6,intentional_pick,This was your deliberate go-to: Teardrop.,"Its playlist share was only 0%, but you still came back 90 times.",badge,
p1,7,listening_clock,Your listening rhythm had a clear time signature: morning.,That window carried the biggest share of your monthly listening pattern.,split-clock,
p1,8,peak_month,Your heaviest month was 2025-02.,"You logged 690 minutes that month, led by Missing.",big-number,
p2,1,listening_scale,"You spent 86,503 minutes with your music.",That’s the listening footprint behind your emotional recap.,big-number,
p2,2,coverage_note,We could read 59.4% of your listening emotionally.,"That came from 51,405 matched minutes in the reference set.",badge,Methodological limit
p2,3,dominant_emotion,Your matched listening leaned uplift.,27.1% of your matched listening carried that emotional signal.,badge-bar,Based on 59.4% match rate
p2,4,emotional_range,Your emotional range was wide-ranging.,Your matched listening spanned 5 emotional categories.,meter,Based on 59.4% match rate
p2,5,anchor_song,One song stayed with you more than any other: Bags.,You spent 1047 minutes on it across 86 different days.,cover-big-number,
p2,6,intentional_pick,This was your deliberate go-to: Bags.,"Its playlist share was only 0%, but you still came back 297 times.",badge,
p2,7,listening_clock,Your listening rhythm had a clear time signature: late night.,That window carried the biggest share of your monthly listening pattern.,split-clock,
p2,8,peak_month,Your heaviest month was 2022-04.,"You logged 3373 minutes that month, led by As It Was.",big-number,
